Season,3PA,PTS,3P%,eFG%,,
1979-80,2.8,109.3,28,48.6,,
1980-81,2,108.1,24.5,48.9,,
1981-82,2.3,108.6,26.2,49.5,,
1982-83,2.3,108.5,23.8,48.8,,
1983-84,2.4,110.1,25,49.5,,
1984-85,3.1,110.8,28.2,49.6,,
1985-86,3.3,110.2,28.2,49.3,,
1986-87,4.7,109.9,30.1,48.8,,
1987-88,5,108.2,31.6,48.9,,
1988-89,6.6,109.2,32.3,48.9,,
1989-90,6.6,107,33.1,48.9,,
1990-91,7.1,106.3,32,48.7,,
1991-92,7.6,105.3,33.1,48.7,,
1992-93,9,105.3,33.6,49.1,,
1993-94,9.9,101.5,33.3,48.5,,
1994-95,15.3,101.4,35.9,50,,
1995-96,16,99.5,36.7,49.9,,
1996-97,16.8,96.9,36,49.3,,
1997-98,12.7,95.6,34.6,47.8,,
1998-99,13.2,91.6,33.9,46.6,,
1999-00,13.7,97.5,35.3,47.8,,
2000-01,13.7,94.8,35.4,47.3,,
2001-02,14.7,95.5,35.4,47.7,,
2002-03,14.7,95.1,34.9,47.4,,
2003-04,14.9,93.4,34.7,47.1,,
2004-05,15.8,97.2,35.6,48.2,,
2005-06,16,97,35.8,49,,
2006-07,16.9,98.7,35.8,49.6,,
2007-08,18.1,99.9,36.2,49.7,,
2008-09,18.1,100,36.7,50,,
2009-10,18.1,100.4,35.5,50.1,,
2010-11,18,99.6,35.8,49.8,,
2011-12,18.4,96.3,34.9,48.7,,
2012-13,20,98.1,35.9,49.6,,
2013-14,21.5,101,36,50.1,,
2014-15,22.4,100,35,49.6,,
2015-16,24.1,102.7,35.4,50.2,,
2016-17,27,105.6,35.8,51.4,,
2017-18,28.7,105.3,36.3,52,,
